Codes Fédé,Fédérations françaises agréées en 2017,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,FF Maccabi ,,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,24
410,F sportive et gymnique du travail (FSGT),,46,7,24,4,10,293,45,2,10,17,11,4,390,30,3,1,7,4,0,9,24,18,71,1,6,15,16,6,3,192,68,272,8,47,59,15,1,65,178,4,5,1,172,10,12,0,4,6,1,12,2,14,5,8,10,1,13,7,6,84,11,57,47,11,20,22,13,50,56,208,3,40,74,64,116,404,100,47,76,7,26,18,11,27,13,4,3,0,10,15,5,85,128,176,191,77,23,5,0,8,0,0,0,5,3,2,0,4,4624
411,F sportive de la police nationale,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381
413,Union française des œuvres laïques d'éducation physique (UFOLEP),,26,70,51,56,24,49,33,65,31,91,48,65,152,83,24,110,78,74,82,14,4,40,53,132,147,8,70,39,151,79,68,74,29,224,91,68,151,111,123,41,60,81,117,115,171,125,35,103,39,47,20,115,49,29,83,51,12,97,91,320,108,18,327,258,98,49,94,26,9,178,28,51,28,33,47,66,50,147,94,71,124,83,46,66,62,92,81,124,42,121,3,108,27,19,47,69,64,39,3,64,0,23,0,5,0,1,0,0,7782
415,FF omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS),,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,2,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,2,0,1,0,2,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,62
417,Union nationale sportive Léo Lagrange,,0,1,0,1,1,2,0,4,3,1,7,0,20,1,0,1,0,0,0,0,0,3,1,0,0,0,3,0,1,13,1,8,0,10,13,7,0,2,10,0,5,1,4,0,7,1,2,5,0,1,1,0,1,1,4,0,3,1,2,26,20,1,18,0,10,2,10,3,2,10,0,3,2,1,2,25,4,2,1,0,12,4,2,6,4,0,0,0,6,1,0,5,5,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,356
418,FF du sport d'entreprise ,,2,3,1,1,2,10,1,1,1,2,3,2,16,8,2,2,8,4,3,5,4,21,2,1,1,9,9,1,1,9,7,8,1,12,14,18,1,5,8,1,1,2,4,1,34,11,1,1,4,10,7,5,4,1,17,1,3,5,1,13,3,1,8,14,7,3,3,39,13,25,2,2,3,3,6,272,9,19,27,1,3,2,2,9,4,4,6,4,2,2,1,35,121,55,67,31,3,13,2,3,0,0,0,2,2,2,0,2,1173
420,Fédération sportive des ASPTT,,2,3,3,2,1,6,2,1,1,1,2,2,7,2,3,2,3,1,5,1,2,1,2,1,2,1,4,1,1,3,3,3,1,2,4,3,1,1,2,3,2,1,2,1,3,1,1,2,1,2,1,3,1,1,2,2,2,3,1,3,2,2,3,1,2,1,1,4,3,3,1,2,1,1,2,14,4,1,3,1,2,3,1,4,3,1,1,1,1,1,1,2,0,0,3,2,0,1,1,1,0,0,0,0,0,0,0,1,208
421,FF des sports populaires,,0,1,0,1,0,1,0,33,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,0,109,0,0,0,0,1,0,0,0,0,86,106,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
501,FF handisport,,21,21,6,2,5,19,6,12,10,7,11,14,40,18,2,6,15,3,6,1,1,20,21,1,11,16,12,8,5,8,25,42,8,39,25,14,5,20,22,9,9,9,13,2,28,11,6,9,3,11,5,12,7,13,16,3,19,15,16,55,14,6,28,9,14,9,13,16,10,26,12,24,14,20,15,27,14,24,17,18,17,13,3,21,6,17,14,8,7,7,7,23,34,15,19,16,5,12,2,17,0,0,1,0,9,1,7,0,1410
503,FF du sport adapté,,10,8,10,4,4,14,4,5,10,2,10,13,21,9,10,14,19,16,16,0,1,2,14,4,16,15,11,17,6,28,25,24,11,42,16,15,2,6,24,6,8,10,6,11,29,17,17,17,20,23,13,12,3,8,8,3,11,6,0,33,14,4,24,15,28,9,6,19,12,12,1,8,19,10,16,14,14,8,15,13,12,22,14,8,6,19,19,10,4,8,3,37,11,11,6,11,1,1,0,9,0,0,0,0,5,1,0,0,1218
601,FF du sport universitaire,,0,2,4,0,1,11,0,0,0,6,1,1,34,8,0,0,4,1,7,0,4,8,5,0,0,16,3,0,0,9,2,43,0,34,29,28,0,4,12,0,0,1,5,0,19,10,0,0,0,10,2,18,0,1,34,0,3,7,1,40,2,1,8,21,6,2,1,13,1,30,0,6,4,5,2,48,15,5,7,0,8,3,0,3,2,0,14,18,2,1,2,11,14,6,16,8,0,2,0,1,0,0,0,0,1,0,0,20,737
602,Fédération Sportive Educative de l'Enseignement Catholique (UGSEL),,54,12,3,0,2,10,117,2,0,0,9,83,52,87,17,1,0,4,0,0,0,0,178,0,4,6,65,0,38,269,28,40,19,109,0,335,0,64,78,8,4,17,34,57,360,52,1,28,39,304,90,41,3,128,48,18,311,28,0,361,40,58,123,8,44,3,11,28,1,110,5,0,90,21,93,115,1,2,66,0,2,30,6,3,45,268,0,0,13,0,4,11,72,26,24,7,24,7,10,0,0,0,0,0,0,0,0,2,4991
603,Union nationale des clubs universitaires,,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
604,Union nationale du sport scolaire (UNSS),,74,93,64,34,27,132,48,62,30,53,47,56,245,104,40,65,93,44,52,23,24,79,76,31,70,86,64,99,61,100,77,159,40,169,135,94,44,79,147,55,65,41,128,56,126,86,34,47,18,73,85,89,43,40,106,39,71,146,46,313,103,55,203,117,139,48,57,147,103,207,43,94,80,67,73,249,204,207,185,75,101,73,38,115,76,51,76,64,72,54,25,156,173,203,168,181,77,76,45,131,0,30,0,0,4,6,68,1,9247
605,Union sportive de l'enseignement du premier degré,,97,11,30,38,31,18,66,38,49,29,118,101,254,27,106,74,46,36,140,20,3,69,66,55,31,90,71,21,87,60,121,45,25,130,83,49,94,126,107,60,112,107,115,55,152,138,37,49,54,183,20,40,10,70,125,40,103,237,58,335,41,48,332,95,96,18,141,85,129,239,78,17,102,149,227,136,32,131,165,177,210,107,81,40,57,29,78,141,89,19,36,192,11,78,35,86,85,39,9,113,0,0,0,79,0,0,0,1,8815
,Total fédérations multisports,,460,352,378,184,152,691,425,305,219,285,324,434,1544,502,264,380,411,265,383,93,100,368,631,289,396,395,426,342,464,922,608,961,223,1179,652,905,351,604,987,290,413,359,781,358,1159,630,179,349,235,848,430,460,173,398,605,223,780,898,249,1898,541,311,1282,645,578,215,518,843,683,1250,232,339,556,529,745,1511,692,785,832,484,657,467,259,440,394,702,404,503,370,323,115,829,672,671,682,610,302,231,112,454,2,65,1,91,57,14,75,826,54468
