Codes Fédé,Fédérations françaises agréées en 2018,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,St Barthélémy,St Martin,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,FF de tennis,,98,50,62,29,17,89,50,35,24,45,56,36,167,87,20,63,113,56,39,12,23,69,66,23,63,67,80,65,60,111,112,189,33,220,146,150,39,91,148,27,86,63,93,38,132,113,28,59,13,98,59,68,32,35,72,20,79,150,39,198,100,40,93,89,74,40,67,147,87,169,27,62,54,46,89,158,139,163,160,58,68,50,28,102,79,96,64,62,48,55,19,143,63,56,69,92,35,30,14,52,1,10,3,6,2,0,24,1,0,0,7539
124,FF de tennis de table,,25,33,20,7,5,27,11,30,6,16,13,16,31,49,14,32,35,28,17,6,2,21,34,4,15,49,14,54,32,76,30,25,8,56,31,92,26,56,43,17,18,34,38,11,128,61,11,13,11,78,51,37,8,79,48,12,55,51,17,170,51,43,90,44,14,7,18,54,26,64,18,18,60,12,19,23,93,56,69,33,45,11,10,29,14,69,23,19,29,14,13,61,39,26,36,44,6,10,3,12,0,8,0,0,3,1,9,0,0,2,3385
125,FF de tir,,13,16,11,5,6,18,6,13,6,14,14,8,70,22,10,10,18,9,10,16,16,17,12,4,12,28,12,17,10,18,23,26,10,19,28,12,14,16,26,10,6,12,15,7,13,22,5,11,7,9,12,23,8,4,24,12,14,37,12,45,21,6,31,20,8,9,13,56,42,32,12,16,9,15,21,22,19,29,19,15,15,16,9,27,18,8,11,11,19,17,3,26,15,18,12,19,16,8,5,7,1,2,0,1,0,0,8,0,0,0,1630
126,FF de tir à l'arc,,15,55,11,7,3,9,9,6,2,13,6,9,31,19,5,5,22,16,5,4,3,13,16,3,7,12,13,15,25,27,19,18,8,31,18,30,9,17,33,10,10,11,13,11,33,26,6,14,9,16,16,17,6,9,22,9,22,27,3,40,76,8,25,15,10,6,11,15,18,37,9,14,15,13,15,10,36,50,40,8,17,8,10,24,16,20,12,6,12,13,6,33,23,28,26,28,2,3,1,6,0,1,1,1,0,0,8,1,0,0,1636
127,FF de triathlon,,24,10,20,7,12,63,23,5,5,11,20,8,53,15,5,11,23,8,14,21,11,21,23,7,21,8,16,20,16,44,16,39,7,51,35,36,6,17,39,8,15,14,12,9,56,14,7,15,9,23,13,17,21,13,31,7,67,34,8,84,32,16,59,19,33,8,16,56,19,45,7,19,17,21,29,43,29,53,53,12,20,10,3,61,25,28,10,14,26,14,3,38,28,21,21,21,26,21,0,34,0,1,2,2,0,9,23,2,0,44,2361
128,FF de voile,,5,5,3,4,5,35,2,2,1,4,16,1,51,26,3,1,45,4,3,15,9,5,36,1,1,6,3,4,4,75,4,7,2,23,32,14,2,5,8,1,10,5,3,0,39,6,0,0,1,8,24,4,4,4,6,1,47,8,2,22,4,0,13,5,9,0,11,9,4,13,1,5,4,2,14,20,19,11,23,3,9,2,1,51,0,32,2,3,3,2,0,15,13,1,11,7,18,10,6,8,2,4,6,2,1,0,16,2,0,0,1064
129,FF de volleyball,,9,12,4,2,3,34,8,4,5,1,6,3,25,16,3,6,16,1,5,3,2,8,11,0,5,9,14,16,6,10,4,17,0,29,32,59,1,12,24,3,8,3,23,7,36,18,0,5,2,20,7,4,3,15,27,3,14,17,0,57,11,5,25,9,16,9,11,23,22,37,1,14,11,4,7,26,10,21,18,7,9,13,3,22,16,19,21,2,7,9,2,27,27,14,27,21,11,16,8,21,0,16,0,1,10,0,130,6,0,23,1465
131,FF de hockey sur glace,,1,0,0,0,6,1,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,3,6,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,1,0,1,1,0,3,1,0,0,2,1,1,1,1,2,1,0,0,0,5,10,1,4,1,1,1,1,1,0,2,1,1,2,1,2,0,1,1,5,2,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,118
132,FF de golf,,20,6,10,7,2,54,3,3,3,3,3,5,50,19,6,14,18,11,9,5,4,20,16,2,11,10,13,11,14,24,16,54,7,77,32,35,6,19,31,6,16,9,14,6,52,29,4,8,4,23,12,19,2,7,10,3,18,11,1,46,14,6,10,20,22,9,6,24,14,31,5,7,9,14,24,58,32,23,68,9,10,8,5,27,11,10,12,15,8,7,5,29,68,13,21,28,2,2,3,3,0,1,0,1,0,6,6,7,7,0,1673
133,FF de rugby,,29,7,12,4,4,11,22,4,30,4,34,14,38,8,14,14,23,13,37,5,11,17,11,4,33,8,28,13,8,20,22,79,28,66,50,21,8,13,66,10,48,9,12,9,24,16,17,39,5,11,9,5,2,3,8,3,18,10,10,26,12,4,16,48,79,30,44,10,8,32,5,26,7,11,12,19,19,18,22,8,7,43,25,43,20,11,10,22,4,9,1,27,28,18,13,12,7,8,9,13,1,13,1,1,6,0,20,1,4,1,1935
